,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
489,1,3,0.8903333333333333,Aiko,0.4886666666666666,109005.33333333331,0.22,0.0,0.16296666666666668,-15.167333333333335,0.30966666666666665,132.135,0.2476666666666667,73.0,3
502,1,2,0.963,Airship Express,0.255,184250.0,0.118,0.897,0.101,-20.562,0.0769,139.642,0.109,65.0,6
504,1,2,0.0435,Aitana,0.639,198947.0,0.784,0.0,0.111,-4.905,0.0562,126.946,0.321,68.0,0
508,1,2,0.0276,Akano,0.6559999999999999,89784.0,0.654,0.0,0.109,-7.0310000000000015,0.0346,135.04399999999998,0.612,68.0,7
598,0,27,0.09974037037037037,Alan Walker,0.6181851851851851,203808.22222222228,0.732962962962963,0.037041048888888886,0.17313333333333336,-5.00374074074074,0.05921481481481481,125.5664074074074,0.3034074074074074,71.22222222222223,6
628,1,1,0.6409999999999999,"Alberto ""Beto"" Zapata",0.276,237467.0,0.5720000000000001,0.0,0.2,-7.818,0.0377,77.986,0.285,68.0,1
665,1,4,0.6775,Aldo Trujillo,0.7340000000000001,159527.5,0.5035000000000001,0.000131335,0.115,-7.2175,0.055,128.6245,0.8799999999999999,69.0,10
669,0,23,0.6288695652173911,Alec Benjamin,0.6688695652173915,183710.08695652173,0.5833043478260869,0.00011640434782608702,0.17256521739130434,-6.019347826086955,0.06150434782608695,119.07278260869562,0.5649999999999998,71.65217391304348,11
699,1,26,0.2861923076923077,Alessia Cara,0.518,209221.03846153847,0.6024230769230768,1.005653846153846e-05,0.1628230769230769,-6.344115384615388,0.13337307692307696,107.7365,0.4178846153846154,68.46153846153847,9
703,1,6,0.7363333333333334,Alex & Sierra,0.4843333333333333,218337.66666666663,0.335,0.0,0.11786666666666665,-7.504333333333332,0.03253333333333333,125.30066666666669,0.2613333333333333,67.66666666666667,0
704,1,2,0.0685,Alex Banin,0.809,252779.0,0.613,0.0,0.107,-8.402000000000001,0.175,104.991,0.562,68.0,2
706,0,1,0.345,Alex Brightman,0.534,235286.0,0.754,0.0,0.248,-5.937,0.221,93.646,0.7020000000000001,66.0,5
719,1,1,0.0015,Alex Gaudino,0.627,223112.0,0.954,0.000814,0.292,-4.8039999999999985,0.0425,128.016,0.312,72.0,2
732,0,4,0.20225,Alex Rose,0.733,344817.0,0.5925,6.9775e-06,0.2048,-5.81625,0.094975,123.50499999999998,0.5165,73.25,5
743,1,2,0.884,Alexander 23,0.629,184638.0,0.306,0.0776,0.124,-11.735,0.0424,76.994,0.191,83.0,1
744,1,2,0.228,Alexander Acha,0.5329999999999999,233493.0,0.5589999999999999,0.0,0.217,-6.574,0.0321,136.037,0.284,71.0,2
746,0,1,0.927,Alexander Briger,0.204,207267.0,0.0331,0.825,0.0954,-24.044,0.0487,116.2,0.0547,67.0,2
773,1,2,0.225,Alexandra,0.932,307200.0,0.772,3.24e-06,0.17600000000000002,-3.599,0.0369,135.063,0.863,67.0,0
787,0,2,0.0467,Alexis Roberts,0.8240000000000001,210547.0,0.745,3.2899999999999987e-05,0.198,-5.49,0.0755,125.013,0.888,69.0,11
830,1,12,0.4416833333333333,Ali Gatie,0.727,199108.0,0.46,1.1383333333333334e-06,0.14403333333333332,-8.343333333333335,0.10243333333333332,108.889,0.3523166666666666,74.66666666666667,11
837,1,2,0.0132,Alice Chater,0.774,232123.0,0.573,0.0,0.145,-9.098,0.14,141.885,0.4,66.0,10
860,1,2,0.373,Alien Huang,0.57,281183.0,0.487,0.0,0.193,-6.683,0.0281,139.987,0.425,65.0,7
864,1,2,0.204,Aliotta Haynes Jeremiah,0.434,235173.0,0.885,0.0,0.0811,-7.367000000000001,0.0396,93.999,0.843,66.0,4
902,1,2,0.00575,Allie X,0.606,207301.0,0.642,0.478,0.102,-5.339,0.0279,84.975,0.0764,66.0,8
912,1,8,0.178325,Almighty,0.777,328253.75,0.659625,3.85e-06,0.159725,-6.487625000000001,0.181375,110.238375,0.422625,69.25,11
918,0,1,0.00829,Alok,0.698,186700.0,0.7190000000000001,4.01e-06,0.326,-4.923,0.0455,120.062,0.364,80.0,0
932,0,1,0.0116,Aluna,0.608,200914.0,0.939,0.0398,0.0656,-4.723,0.0579,175.028,0.403,77.0,11
971,1,4,0.255,Amanda Shires,0.5405,217447.0,0.6105,4.74e-06,0.136,-5.845,0.03145,137.029,0.3915,67.5,11
984,1,4,0.2235,Ambiworld,0.124,237679.5,0.8405,0.93,0.235,-24.487,0.06785,113.9465,0.0192,66.0,1
1009,0,29,0.2147579310344828,Aminé,0.7634482758620689,182040.75862068965,0.5089655172413793,0.0021130227586206893,0.16108965517241378,-7.207620689655174,0.21919310344827586,106.93765517241384,0.6312068965517241,65.41379310344827,10
1056,1,2,0.995,Ana Olgica,0.361,144500.0,0.0165,0.967,0.0834,-27.874,0.0615,114.346,0.452,66.0,0
1058,0,2,0.325,Ana Torroja,0.674,275373.0,0.774,1.52e-06,0.32299999999999995,-6.004,0.0349,129.951,0.7020000000000001,65.0,6
1083,1,2,0.805,Andra Day,0.398,253342.0,0.316,0.0,0.295,-7.0310000000000015,0.0368,118.582,0.174,76.0,1
1108,1,2,0.41,Andreas Moss,0.511,242680.0,0.629,0.0,0.162,-7.755,0.151,129.924,0.0442,67.0,0
1142,0,2,0.118,Andrez Babii,0.767,192229.0,0.561,0.0,0.0737,-7.417999999999997,0.0509,90.021,0.542,66.0,2
1172,1,10,0.30700000000000005,Andrés Calamaro,0.5940000000000001,240954.6,0.7948,0.003714472,0.32880000000000004,-6.245400000000001,0.032660000000000015,111.0904,0.7173999999999999,65.0,7
1180,1,28,0.13363207142857142,Andy Grammer,0.6498571428571428,188385.5,0.7366428571428569,4.746428571428572e-06,0.1820928571428571,-5.289428571428571,0.04151428571428572,109.0588571428572,0.5459357142857141,65.42857142857143,11
1204,1,2,0.0135,Angel Lopez,0.794,295533.0,0.831,1.12e-06,0.11,-9.235,0.331,172.407,0.328,73.0,8
1206,1,2,0.917,Angel Perez,0.638,166438.0,0.295,0.000132,0.109,-14.193,0.0307,101.127,0.8490000000000001,67.0,5
1212,1,5,0.17384000000000002,Angel Y Khriz,0.7687999999999999,243906.6,0.8948,0.002612,0.07436,-5.0232,0.0538,108.7894,0.8051999999999999,65.8,11
1246,0,2,0.0597,Angèle,0.868,156911.0,0.693,0.00399,0.106,-7.0520000000000005,0.181,114.999,0.396,85.0,6
1263,0,2,0.0395,AnimeHub,0.715,95269.0,0.773,0.0165,0.181,-11.806,0.335,178.035,0.172,69.0,11
1274,0,3,0.2563333333333333,Anitta,0.8266666666666667,226325.66666666663,0.6659999999999999,2.4906666666666666e-05,0.1111,-4.3196666666666665,0.10026666666666667,147.34133333333332,0.7280000000000001,76.66666666666667,6
1280,0,4,0.3279,Anjulie,0.635,199884.0,0.7484999999999999,0.02935219,0.10695,-4.1895,0.035500000000000004,154.006,0.3625,71.5,6
1300,1,10,0.5589999999999999,Anna Clendening,0.6201999999999999,215634.4,0.4562000000000001,0.00048646199999999995,0.13151999999999994,-9.1234,0.09070000000000003,114.5388,0.4036,65.6,2
1314,1,2,0.0667,Anna Naklab,0.8009999999999999,195210.0,0.6409999999999999,0.0244,0.172,-8.584,0.0455,124.979,0.701,66.0,11
1336,0,18,0.2339555555555556,Anne-Marie,0.7065555555555556,213334.22222222228,0.7080000000000002,0.0,0.2386444444444445,-4.275777777777779,0.08582222222222223,109.46044444444445,0.6561111111111111,74.0,9
1356,1,5,0.10668,Annika Wells,0.4888,225487.0,0.7240000000000001,1.656e-06,0.09152000000000003,-3.6372,0.0413,115.256,0.2434,70.2,7
1376,0,4,0.044500000000000005,Ansel Elgort,0.6789999999999999,206086.5,0.6815,0.0,0.159,-4.542000000000002,0.0926,160.05699999999996,0.529,65.0,1
1377,1,8,0.93975,Anson Seabra,0.61975,210784.25,0.12187500000000002,6.15e-07,0.17064999999999994,-15.079,0.056575,104.685,0.368,69.5,4
1382,1,1,0.0942,Ant Beale,0.762,181543.0,0.624,0.0,0.115,-6.299,0.0951,149.95,0.488,67.0,3
1384,1,2,0.177,Ant Saunders,0.866,223258.0,0.438,0.0,0.0743,-8.943,0.0719,129.039,0.695,77.0,7
1400,1,12,0.4364250000000001,Anthony Ramos,0.66625,164738.83333333337,0.4521666666666666,0.0,0.2621583333333333,-9.739583333333334,0.3773083333333333,119.09216666666669,0.6282500000000001,68.08333333333333,0
1464,1,1,0.275,Anuel,0.773,275827.0,0.6729999999999999,0.0,0.112,-5.697,0.223,143.957,0.5920000000000001,65.0,1
1465,1,91,0.33558681318681305,Anuel AA,0.7461758241758244,245345.4725274725,0.7046923076923075,0.0004238992307692308,0.1518538461538462,-4.591120879120883,0.11513076923076927,119.79090109890106,0.5763406593406589,71.36263736263736,8
1494,1,2,0.0366,Apollo Fresh,0.7809999999999999,105333.0,0.5329999999999999,0.0,0.597,-9.215,0.302,133.967,0.326,71.0,1
1538,0,2,0.000123,Architects,0.532,244365.0,0.759,0.02,0.073,-3.842,0.0319,95.01,0.293,72.0,1
1556,1,1,0.388,Ariana DeBose,0.82,173594.0,0.451,0.0,0.563,-10.177,0.461,88.566,0.665,65.0,9
1557,1,212,0.25835709433962273,Ariana Grande,0.6333396226415097,200772.7358490566,0.5942311320754718,0.0005827850943396228,0.2030179245283018,-6.017622641509434,0.08661650943396226,117.04641981132086,0.4644080188679247,68.69811320754717,0
1565,1,10,0.19471999999999995,Aries,0.6228,162724.6,0.6666,0.00014419999999999998,0.1838,-6.7788,0.03819999999999999,123.75759999999998,0.5710000000000001,65.8,8
1571,0,11,0.11638181818181816,Arizona Zervas,0.6972727272727274,168483.54545454544,0.6678181818181819,7.972727272727273e-07,0.20181818181818184,-5.117181818181818,0.13385454545454545,125.27990909090909,0.5486363636363637,74.36363636363636,0
1573,1,1,0.67,Ark Patrol,0.47,248056.0,0.436,0.263,0.294,-10.228,0.0351,81.97200000000002,0.0389,66.0,0
1575,1,2,0.993,Arlette Leduc,0.208,159750.0,0.00877,0.85,0.0949,-33.476,0.0418,120.945,0.0396,66.0,2
1606,1,2,0.0232,Aroc!,0.467,184905.0,0.636,0.0,0.138,-6.96,0.201,135.014,0.419,71.0,7
1615,1,2,0.0103,Arrow Benjamin,0.319,213019.0,0.846,4.11e-05,0.475,-6.109,0.0796,139.16299999999998,0.0784,67.0,6
1696,0,1,0.223,Asaf Avidan,0.826,215187.0,0.6679999999999999,6.92e-05,0.16699999999999998,-6.329,0.0571,118.99,0.534,66.0,3
1701,1,2,0.00704,Ash Costello,0.376,211027.0,0.939,0.0,0.116,-3.437,0.0572,190.109,0.815,69.0,1
1710,1,5,0.35068,Ashe,0.5926,193736.6,0.5132,2.8272000000000013e-05,0.1514,-6.2912,0.06122000000000001,143.88240000000005,0.278,70.4,10
1725,1,13,0.10892230769230768,Ashnikko,0.7446923076923079,164831.23076923078,0.6394615384615385,0.0,0.1909538461538462,-5.923538461538461,0.13066153846153844,118.87830769230769,0.6500769230769231,70.38461538461539,8
1739,0,2,0.000892,Aspori,0.28,102876.0,0.247,0.907,0.265,-22.41,0.18,119.423,0.321,65.0,1
1745,0,6,0.09786666666666667,Astrid S,0.5916666666666667,209199.0,0.7296666666666667,0.0012823999999999995,0.10363333333333333,-5.0376666666666665,0.07213333333333333,111.69266666666668,0.38866666666666666,68.33333333333333,7
1750,0,2,0.629,Astronomyy,0.594,296267.0,0.481,0.0126,0.0939,-8.525,0.0353,144.941,0.0671,67.0,4
1781,1,6,0.0429,Atomic Kitten,0.7686666666666667,198822.0,0.6826666666666666,0.003380000000000001,0.09106666666666667,-3.769333333333333,0.03496666666666667,100.33733333333332,0.6223333333333334,65.33333333333333,7
1791,1,7,0.2906285714285714,Au/Ra,0.562,193171.7142857143,0.5491428571428572,1.6142857142857144e-06,0.11548571428571427,-7.909285714285715,0.04941428571428571,135.11057142857143,0.3283142857142858,72.0,6
1806,1,4,0.16595,Audrey Mika,0.6145,179810.5,0.585,0.0,0.08775000000000001,-5.271,0.0986,130.98400000000004,0.634,68.5,11
1816,1,8,0.72225,Auli'i Cravalho,0.447875,138758.625,0.340375,0.0114875,0.1323,-11.44775,0.05893750000000001,115.4105,0.248075,66.0,4
1834,1,1,0.726,Austyn Johnson,0.253,60453.0,0.139,5.01e-05,0.269,-17.067,0.0414,74.369,0.102,67.0,6
1837,0,1,0.248,Autograf,0.797,197419.0,0.69,0.0496,0.132,-5.845,0.037000000000000005,124.0,0.184,67.0,7
1842,1,25,0.13543280000000002,Ava Max,0.6304799999999999,179398.72,0.6792000000000001,3.712e-07,0.15540000000000004,-4.576599999999999,0.06096799999999996,138.14856000000003,0.50064,76.68,1
1854,1,2,0.5870000000000001,Avenue Beat,0.7020000000000001,181852.0,0.597,3.62e-06,0.112,-7.067,0.207,85.016,0.383,74.0,2
1871,0,2,0.0131,Axel Thesleff,0.7,416000.0,0.546,0.0305,0.172,-7.705,0.109,80.00399999999998,0.302,66.0,5
1874,0,2,0.0275,Axwell /\ Ingrosso,0.6459999999999999,203000.0,0.741,0.0,0.312,-4.973,0.034,123.077,0.5710000000000001,79.0,5
1875,1,1,0.175,Aya Nakamura,0.7909999999999999,166851.0,0.682,0.0,0.0926,-7.3279999999999985,0.158,98.031,0.672,85.0,5
1876,0,2,0.00262,Ayah Marar,0.725,247933.0,0.8740000000000001,0.000412,0.0958,-3.715,0.0396,127.985,0.748,67.0,0
1883,1,4,0.12235,Ayo & Teo,0.7195,216766.0,0.8039999999999999,0.0,0.1678,-2.891,0.1315,154.8425,0.487,75.5,11
1939,1,14,0.2569842857142857,BANNERS,0.527,218118.2857142857,0.7002857142857143,0.0,0.1804285714285714,-5.444571428571429,0.03624285714285714,106.853,0.4831714285714286,66.71428571428571,2
1946,1,11,0.2510545454545455,BENEE,0.7377272727272728,205992.36363636365,0.5784545454545454,0.014548498181818175,0.16356363636363636,-6.0819090909090905,0.0404,102.90063636363638,0.4699090909090909,70.0,7
1947,1,2,0.516,BETWEEN FRIENDS,0.273,235226.0,0.565,1.68e-06,0.0855,-7.282999999999999,0.248,179.518,0.298,73.0,2
1954,1,39,0.09198564102564102,BLACKPINK,0.6916410256410257,195461.92307692303,0.7531282051282052,0.00011116820512820516,0.22882564102564104,-4.213615384615385,0.1042153846153846,123.77097435897436,0.5457692307692309,76.28205128205127,9
1956,1,1,0.0179,BLIND.SEE,0.916,128496.0,0.445,1.84e-06,0.381,-7.143,0.5710000000000001,140.124,0.0519,65.0,7
1957,1,2,0.00222,BLUE ENCOUNT,0.517,224360.0,0.939,0.00237,0.0814,-2.546,0.0938,94.959,0.564,69.0,8
1959,1,4,0.5489999999999999,BOL4,0.6325,197613.0,0.807,0.0,0.07404999999999999,-2.628,0.09745,135.007,0.7444999999999999,68.5,1
1966,1,33,0.36653333333333343,BROCKHAMPTON,0.6994848484848487,218967.84848484848,0.5931212121212124,0.0031031333333333337,0.2218060606060606,-7.096424242424242,0.12925151515151515,112.64757575757577,0.5717575757575759,65.3030303030303,1
1967,0,2,0.0135,BRS Kash,0.9,218182.0,0.521,0.0,0.0951,-7.286,0.147,132.007,0.213,76.0,4
1969,1,2,0.0179,BRYOZA,0.916,128496.0,0.445,1.84e-06,0.381,-7.143,0.5710000000000001,140.124,0.0519,65.0,7
1971,0,279,0.11703611469534055,BTS,0.6190788530465955,228262.2903225807,0.7683870967741935,5.93136917562724e-05,0.2042430107526881,-4.6441433691756275,0.13070430107526887,124.42818279569893,0.5288946236559142,68.44802867383514,1
1973,1,6,0.0128,BURNOUT SYNDROMES,0.4213333333333333,245093.33333333328,0.9546666666666668,0.0,0.34,-1.5513333333333337,0.092,122.43333333333332,0.3493333333333333,66.33333333333333,11
1995,1,6,0.2593333333333333,Baby Keem,0.7586666666666666,153109.33333333337,0.5786666666666668,1.2206666666666668e-05,0.116,-8.082666666666666,0.12276666666666665,85.70366666666666,0.298,74.33333333333333,10
2007,0,2,0.0008269999999999999,Baby Sleep,0.21600000000000005,157361.0,0.203,0.000466,0.133,-26.57,0.153,132.84,0.039,67.0,0
2011,1,4,0.2875,BabyJake,0.753,207813.0,0.7185,5.95e-07,0.162,-5.625,0.050100000000000006,140.005,0.5925,68.5,7
2018,1,10,0.17354,Bacilos,0.7225999999999999,263600.0,0.7424,1.002e-05,0.13488000000000006,-5.352,0.06656000000000001,115.4272,0.8684,67.0,9
2025,0,172,0.24480104651162785,Bad Bunny,0.7573837209302328,226253.99418604648,0.6688546511627905,0.00026236819767441863,0.15734476744186046,-5.573174418604648,0.11811627906976747,124.00401744186041,0.5001686046511631,70.20930232558139,1
2034,0,9,0.0039075111111111106,Bad Wolves,0.40955555555555545,236857.1111111111,0.8706666666666666,1.06e-06,0.1314,-4.264777777777779,0.07212222222222223,121.00544444444445,0.2428888888888889,65.33333333333333,2
2036,1,2,0.116,Badda TD,0.7140000000000001,168725.0,0.5920000000000001,0.0,0.11,-8.709,0.332,148.158,0.691,69.0,1
2054,0,2,0.312,Bakar,0.584,213573.0,0.684,9.05e-05,0.112,-4.314,0.5670000000000001,210.164,0.72,74.0,10
2078,1,4,0.16549999999999998,Band Aid,0.595,225993.0,0.675,7.314999999999999e-05,0.09925,-6.156500000000001,0.03805,115.2615,0.3544999999999999,71.5,0
2090,0,2,0.395,Banda Clave Nueva De Max Peraza,0.5529999999999999,209587.0,0.5720000000000001,1.22e-06,0.0756,-5.666,0.0363,200.008,0.894,69.0,7
2091,1,4,0.14800000000000002,Banda Coloso,0.5499999999999999,214410.5,0.5974999999999999,9.1e-07,0.482,-6.756,0.0669,135.218,0.86,68.5,2
2105,1,4,0.4765,Banda Los Sebastianes,0.7230000000000001,184353.5,0.4915,5.3e-07,0.15715,-5.9835,0.03815,135.464,0.7659999999999999,66.5,2
2148,1,7,0.36831428571428576,Bankrol Hayden,0.8205714285714285,119407.71428571428,0.5605714285714286,0.0,0.11345714285714285,-8.274285714285714,0.2158,125.34100000000001,0.7432857142857142,69.71428571428571,3
2150,0,2,0.0166,Bantu,0.7659999999999999,174893.0,0.8809999999999999,2.3e-06,0.34700000000000003,-5.158,0.13699999999999998,112.027,0.674,67.0,9
2184,0,1,0.0779,Bari,0.8220000000000001,162591.0,0.503,0.0,0.161,-6.8889999999999985,0.285,71.524,0.408,69.0,11
2238,1,1,0.552,Bass Santana,0.556,118361.0,0.64,0.0,0.215,-7.504,0.445,88.399,0.703,73.0,11
2267,1,34,0.3679041176470588,Bazzi,0.6668235294117645,166053.76470588235,0.5554705882352939,6.435294117647059e-07,0.16334117647058832,-6.138882352941178,0.05359999999999997,120.40794117647064,0.4678529411764706,70.17647058823529,9
2269,1,20,0.26879800000000004,Bea Miller,0.6548,195179.2,0.5421499999999998,0.000303445,0.3135,-6.80915,0.07404000000000002,112.61289999999997,0.46235,70.2,6
2271,1,6,0.0004386666666666667,Beach Bunny,0.3766666666666667,172291.0,0.8173333333333334,0.012437000000000005,0.12613333333333335,-6.911333333333332,0.05186666666666667,150.88200000000003,0.5856666666666667,70.0,4
2285,1,3,0.04533333333333334,Beatking,0.884,169729.33333333337,0.6906666666666667,3.573333333333333e-05,0.1967,-6.445666666666668,0.4066666666666667,143.7346666666666,0.5576666666666666,76.0,4
2297,0,33,0.1193539393939394,Bebe Rexha,0.6173030303030302,200937.06060606046,0.6673030303030306,3.960606060606061e-07,0.18199090909090904,-5.366969696969697,0.07588181818181818,111.48618181818182,0.4275757575757577,67.93939393939394,11
2306,1,18,0.11187333333333334,Becky G,0.6877222222222222,208870.5,0.7134444444444444,0.0003884777777777778,0.2094111111111111,-5.633222222222222,0.09870555555555556,110.57811111111107,0.521888888888889,67.94444444444444,2
2308,0,5,0.030768,Becky Hill,0.6344,174857.8,0.826,4.6e-06,0.27,-4.8466000000000005,0.06582,123.5554,0.6898000000000002,65.0,5
2321,1,2,0.0126,Bekuh Boom,0.6559999999999999,199762.5,0.9055,0.01990414,0.0761,-4.3765,0.0478,141.529,0.48100000000000004,76.0,11
2343,0,1,0.111,Beltito,0.863,260545.0,0.669,0.0,0.0569,-5.952000000000001,0.282,164.062,0.947,86.0,6
2434,1,2,0.8220000000000001,Bernadette Carroll,0.384,140453.0,0.419,0.00152,0.267,-9.712,0.0426,98.637,0.4270000000000001,65.0,5
2443,0,2,0.00202,Bernard Jabs,0.695,175569.0,0.5660000000000001,0.0,0.16699999999999998,-7.484,0.124,80.029,0.388,72.0,6
2463,0,2,0.000192,Bert McCracken,0.575,170074.0,0.959,0.0,0.0515,-2.469,0.108,110.973,0.642,74.0,1
